school_code,school_name,school_name_frpm,city,latitude,longitude,is_charter,charter_school_yn,charter_raw,cds_code,school_id,nces_dist,nces_school,status_type,county,district,street,street_abr,zip,state,mail_street,mail_str_abr,mail_city,mail_zip,mail_state,phone,ext,fax_number,website,open_date,closed_date,charter_num,funding_type,doc,doc_type,soc,soc_type,ed_ops_code,ed_ops_name,eil_code,eil_name,gs_offered,gs_served,virtual,magnet,year_round_yn,federal_dfc_district_id,adm_f_name,adm_l_name,last_up_date,multilingual,academic_year,county_code,district_code,county_name,district_name,district_type,school_type,educational_option_type,charter_school_number,charter_funding_type,independently_reporting_charter_irc,low_grade,high_grade,enrollment_k12,free_meal_count_k12,percent_eligible_free_k12,frpm_count_k12,percent_eligible_frpm_k12,enrollment_ages_5_17,free_meal_count_ages_5_17,percent_eligible_free_ages_5_17,frpm_count_ages_5_17,percent_eligible_frpm_ages_5_17,calpads_fall1_certification_status
6046122,Ben Painter Elementary,Ben Painter Elementary,San Jose,37.37495,-121.84331,False,No ,N,43693696046122,6046122,602310,8782,Active,Santa Clara,Alum Rock Union Elementary,500 Rough and Ready Road,500 Rough and Ready Rd.,95133-2068,CA,500 Rough and Ready Road,500 Rough and Ready Rd.,San Jose,95133-2068,CA,(408) 928-8400,No Data,(408) 928-8401,No Data,07/01/1980,No Data,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,Y,No Data,Joseph,Manluco,05/23/2025,Y,2024-2025,43,69369,Santa Clara,Alum Rock Union Elementary,Elementary School District,Elementary Schools (Public),Traditional,,,N,P,5,362,145,40.1%,188,51.9%,325,141,43.4%,183,56.3%,Y
6046213,Linda Vista Elementary,Linda Vista Elementary,San Jose,37.376934,-121.82372,False,No ,N,43693696046213,6046213,602310,108,Active,Santa Clara,Alum Rock Union Elementary,100 Kirk Avenue,100 Kirk Ave.,95127-2295,CA,100 Kirk Avenue,100 Kirk Ave.,San Jose,95127-2295,CA,(408) 928-7800,No Data,(408) 928-7801,No Data,07/01/1980,No Data,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,Suzanne,Cicala,08/09/2023,N,2024-2025,43,69369,Santa Clara,Alum Rock Union Elementary,Elementary School District,Elementary Schools (Public),Traditional,,,N,K,5,437,234,53.5%,298,68.2%,415,219,52.8%,281,67.7%,Y
6046221,Lyndale Elementary,Lyndale Elementary,San Jose,37.359746,-121.82492,False,No ,N,43693696046221,6046221,602310,109,Active,Santa Clara,Alum Rock Union Elementary,13901 Nordyke Drive,13901 Nordyke Dr.,95127-3138,CA,13901 Nordyke Drive,13901 Nordyke Dr.,San Jose,95127-3138,CA,(408) 928-7900,No Data,(408) 928-7901,https://lyndale.arusd.org/,07/01/1980,No Data,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,Jacqueline,Montejano,06/18/2025,N,2024-2025,43,69369,Santa Clara,Alum Rock Union Elementary,Elementary School District,Elementary Schools (Public),Traditional,,,N,K,5,275,199,72.4%,228,82.9%,254,182,71.7%,211,83.1%,Y
6046247,Aptitud Community Academy at Goss,Aptitud Community Academy at Goss,San Jose,37.34995,-121.8314,False,No ,N,43693696046247,6046247,602310,106,Active,Santa Clara,Alum Rock Union Elementary,2475 Van Winkle Lane,2475 Van Winkle Ln.,95116-3758,CA,2475 Van Winkle Lane,2475 Van Winkle Ln.,San Jose,95116-3758,CA,(408) 928-7656,No Data,(408) 928-7651,https://aptitud.arusd.org/,07/01/1980,No Data,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-8,N,N,N,No Data,Suyen,Jimenez,06/16/2025,N,2024-2025,43,69369,Santa Clara,Alum Rock Union Elementary,Elementary School District,Elementary Schools (Public),Traditional,,,N,K,8,386,301,78.0%,344,89.1%,373,290,77.7%,332,89.0%,Y
6046254,Millard McCollam Elementary,Millard McCollam Elementary,San Jose,37.380472,-121.83312,False,No ,N,43693696046254,6046254,602310,112,Active,Santa Clara,Alum Rock Union Elementary,3311 Lucian Avenue,3311 Lucian Ave.,95127-1544,CA,3311 Lucian Avenue,3311 Lucian Ave.,San Jose,95127-1544,CA,(408) 928-8000,No Data,(408) 928-8001,No Data,07/01/1980,No Data,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,Linda,Diaz Sepulveda,08/19/2025,N,2024-2025,43,69369,Santa Clara,Alum Rock Union Elementary,Elementary School District,Elementary Schools (Public),Traditional,,,N,K,5,370,156,42.2%,198,53.5%,349,148,42.4%,187,53.6%,Y
6046270,O. S. Hubbard Elementary,O. S. Hubbard Elementary,San Jose,37.330237,-121.83946,False,No ,N,43693696046270,6046270,602310,107,Active,Santa Clara,Alum Rock Union Elementary,1680 Foley Avenue,1680 Foley Ave.,95122-2213,CA,1680 Foley Avenue,1680 Foley Ave.,San Jose,95122-2213,CA,(408) 928-7700,No Data,(408) 928-7701,https://hubbard.arusd.org/,07/01/1980,No Data,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-8,N,N,N,No Data,Sandra,Sarmiento,06/16/2025,N,2024-2025,43,69369,Santa Clara,Alum Rock Union Elementary,Elementary School District,Elementary Schools (Public),Traditional,,,N,K,8,427,312,73.1%,363,85.0%,413,305,73.8%,354,85.7%,Y
6046304,San Antonio Elementary,San Antonio Elementary,San Jose,37.350025,-121.85234,False,No ,N,43693696046304,6046304,602310,121,Active,Santa Clara,Alum Rock Union Elementary,1721 East San Antonio Street,1721 East San Antonio St.,95116-3060,CA,1721 East San Antonio Street,1721 East San Antonio St.,San Jose,95116-3060,CA,(408) 928-8700,No Data,(408) 928-8701,https://sanantonio.arusd.org/,07/01/1980,No Data,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,Iris,Charest,06/16/2025,N,2024-2025,43,69369,Santa Clara,Alum Rock Union Elementary,Elementary School District,Elementary Schools (Public),Traditional,,,N,K,5,326,258,79.1%,299,91.7%,316,249,78.8%,289,91.5%,Y
6046320,Thomas P. Ryan Elementary,Thomas P. Ryan Elementary,San Jose,37.350062,-121.82257,False,No ,N,43693696046320,6046320,602310,120,Active,Santa Clara,Alum Rock Union Elementary,1241 McGinness Avenue,1241 McGinness Ave.,95127-4026,CA,1241 McGinness Avenue,1241 McGinness Ave.,San Jose,95127-4026,CA,(408) 928-8650,No Data,(408) 928-8651,No Data,07/01/1980,No Data,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,Clarissa,Johnston-Abril,08/09/2023,N,2024-2025,43,69369,Santa Clara,Alum Rock Union Elementary,Elementary School District,Elementary Schools (Public),Traditional,,,N,K,5,247,179,72.5%,207,83.8%,238,173,72.7%,200,84.0%,Y
6046338,William Sheppard Middle,William Sheppard Middle,San Jose,37.37451,-121.843,False,No ,N,43693696046338,6046338,602310,122,Active,Santa Clara,Alum Rock Union Elementary,480 Rough and Ready Road,480 Rough and Ready Rd.,95133-2422,CA,480 Rough and Ready Road,480 Rough and Ready Rd.,San Jose,95133-2422,CA,(408) 928-8800,No Data,(408) 928-8801,No Data,07/01/1980,No Data,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,Doug,Kleinhenz,06/16/2025,N,2024-2025,43,69369,Santa Clara,Alum Rock Union Elementary,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,,N,6,8,451,256,56.8%,322,71.4%,451,256,56.8%,322,71.4%,Y
6089270,Ocala Middle,Ocala Middle,San Jose,37.340385,-121.82046,False,No ,N,43693696089270,6089270,602310,116,Active,Santa Clara,Alum Rock Union Elementary,2800 Ocala Avenue,2800 Ocala Ave.,95148-1114,CA,2800 Ocala Avenue,2800 Ocala Ave.,San Jose,95148-1114,CA,(408) 928-8350,No Data,(408) 928-8351,https://ocala.arusd.org/,07/01/1980,No Data,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,Kelsey,White,06/18/2025,N,2024-2025,43,69369,Santa Clara,Alum Rock Union Elementary,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,,N,6,8,377,247,65.5%,299,79.3%,377,247,65.5%,299,79.3%,Y
6046379,Noble Elementary,Noble Elementary,San Jose,37.396302,-121.8391,False,No ,N,43693776046379,6046379,604800,462,Active,Santa Clara,Berryessa Union Elementary,3466 Grossmont Drive,3466 Grossmont Dr.,95132-3119,CA,3466 Grossmont Drive,3466 Grossmont Dr.,San Jose,95132-3119,CA,(408) 923-1935,No Data,(408) 937-5006,No Data,07/01/1980,No Data,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,Krista,Castillou,08/18/2025,N,2024-2025,43,69377,Santa Clara,Berryessa Union Elementary,Elementary School District,Elementary Schools (Public),Traditional,,,N,K,5,370,72,19.5%,87,23.5%,358,68,19.0%,83,23.2%,Y
