Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",Independently Reporting Charter (IRC),Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","California Longitudinal Pupil Achievement Data System (CALPADS) Fall 1 
Certification Status"
2024-2025,43,10439,0000001,Santa Clara,Santa Clara County Office of Education,"Nonpublic, Nonsectarian Schools",County Office of Education (COE),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,12,100.0%,12,100.0%,7,7,100.0%,7,100.0%,Y
2024-2025,43,10439,0106534,Santa Clara,Santa Clara County Office of Education,Bullis Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,0615,Directly funded,Y,K,8,997,42,4.2%,51,5.1%,961,42,4.4%,51,5.3%,Y
2024-2025,43,10439,0111880,Santa Clara,Santa Clara County Office of Education,Discovery Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,0767,Directly funded,Y,K,8,555,90,16.2%,97,17.5%,555,90,16.2%,97,17.5%,Y
2024-2025,43,10439,0113431,Santa Clara,Santa Clara County Office of Education,University Preparatory Academy Charter,County Office of Education (COE),High Schools (Public),Traditional,Yes,0844,Directly funded,Y,7,12,727,141,19.4%,202,27.8%,725,141,19.4%,202,27.9%,Y
2024-2025,43,10439,0113704,Santa Clara,Santa Clara County Office of Education,Rocketship Mateo Sheedy Elementary,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,0850,Directly funded,Y,K,5,454,325,71.6%,361,79.5%,420,296,70.5%,331,78.8%,Y
2024-2025,43,10439,0116814,Santa Clara,Santa Clara County Office of Education,ACE Empower Academy,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,Yes,0972,Directly funded,Y,5,8,189,147,77.8%,176,93.1%,189,147,77.8%,176,93.1%,Y
2024-2025,43,10439,0119024,Santa Clara,Santa Clara County Office of Education,Rocketship Si Se Puede Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1061,Directly funded,Y,K,5,271,196,72.3%,221,81.5%,254,185,72.8%,207,81.5%,Y
2024-2025,43,10439,0120642,Santa Clara,Santa Clara County Office of Education,Rocketship Los Suenos Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1127,Directly funded,Y,K,5,309,232,75.1%,257,83.2%,295,223,75.6%,244,82.7%,Y
2024-2025,43,10439,0121483,Santa Clara,Santa Clara County Office of Education,Alpha: Cornerstone Academy Preparatory,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1167,Directly funded,Y,K,8,554,257,46.4%,306,55.2%,537,249,46.4%,298,55.5%,Y
2024-2025,43,10439,0123257,Santa Clara,Santa Clara County Office of Education,Downtown College Prep - Alum Rock,County Office of Education (COE),K-12 Schools (Public),Traditional,Yes,1268,Directly funded,Y,6,12,202,136,67.3%,157,77.7%,202,136,67.3%,157,77.7%,Y
2024-2025,43,10439,0123281,Santa Clara,Santa Clara County Office of Education,Rocketship Discovery Prep,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1193,Directly funded,Y,K,5,402,270,67.2%,294,73.1%,378,251,66.4%,275,72.8%,Y
2024-2025,43,10439,0123794,Santa Clara,Santa Clara County Office of Education,Summit Public School: Tahoma,County Office of Education (COE),High Schools (Public),Traditional,Yes,1282,Directly funded,Y,9,12,383,95,24.8%,111,29.0%,375,94,25.1%,109,29.1%,Y
2024-2025,43,10439,0124065,Santa Clara,Santa Clara County Office of Education,Sunrise Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,Yes,1290,Directly funded,Y,5,8,301,236,78.4%,258,85.7%,301,236,78.4%,258,85.7%,Y
2024-2025,43,10439,0125781,Santa Clara,Santa Clara County Office of Education,Rocketship Academy Brilliant Minds,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1393,Directly funded,Y,K,5,500,305,61.0%,359,71.8%,470,284,60.4%,336,71.5%,Y
2024-2025,43,10439,0125799,Santa Clara,Santa Clara County Office of Education,Rocketship Alma Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1394,Directly funded,Y,K,5,532,388,72.9%,428,80.5%,496,362,73.0%,399,80.4%,Y
2024-2025,43,10439,0127969,Santa Clara,Santa Clara County Office of Education,Discovery Charter II,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1547,Directly funded,Y,K,8,476,82,17.2%,83,17.4%,450,77,17.1%,78,17.3%,Y
2024-2025,43,10439,0129213,Santa Clara,Santa Clara County Office of Education,Alpha: Jose Hernandez,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1618,Directly funded,Y,K,8,440,356,80.9%,400,90.9%,422,341,80.8%,383,90.8%,Y
2024-2025,43,10439,0131110,Santa Clara,Santa Clara County Office of Education,Rocketship Fuerza Community Prep,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1687,Directly funded,Y,K,5,506,344,68.0%,384,75.9%,475,327,68.8%,361,76.0%,Y
2024-2025,43,10439,0131748,Santa Clara,Santa Clara County Office of Education,Voices College-Bound Language Academy at Morgan Hill,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1716,Directly funded,Y,P,8,338,191,56.5%,224,66.3%,322,184,57.1%,215,66.8%,Y
2024-2025,43,10439,0132530,Santa Clara,Santa Clara County Office of Education,Voices College-Bound Language Academy at Mt. Pleasant,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1743,Directly funded,Y,K,8,235,180,76.6%,194,82.6%,226,173,76.5%,186,82.3%,Y
2024-2025,43,10439,0133496,Santa Clara,Santa Clara County Office of Education,Rocketship Rising Stars,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1778,Directly funded,Y,K,5,621,353,56.8%,402,64.7%,561,329,58.6%,372,66.3%,Y
2024-2025,43,10439,0135087,Santa Clara,Santa Clara County Office of Education,Opportunity Youth Academy,County Office of Education (COE),High Schools (Public),Traditional,Yes,1840,Locally funded,N,9,12,283,180,63.6%,197,69.6%,79,55,69.6%,60,75.9%,Y
2024-2025,43,10439,4330254,Santa Clara,Santa Clara County Office of Education,Santa Clara County Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,No ,N/A,N/A,N,6,12,44,44,100.0%,44,100.0%,38,38,100.0%,38,100.0%,Y
2024-2025,43,10439,4330320,Santa Clara,Santa Clara County Office of Education,Santa Clara County Community,County Office of Education (COE),County Community,County Community School,No ,N/A,N/A,N,6,12,107,62,57.9%,63,58.9%,106,62,58.5%,63,59.4%,Y
2024-2025,43,10439,6069371,Santa Clara,Santa Clara County Office of Education,Santa Clara County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,No ,N/A,N/A,N,P,Post Secondary,771,332,43.1%,367,47.6%,566,261,46.1%,283,50.0%,Y
2024-2025,43,69369,0000001,Santa Clara,Alum Rock Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,4,50.0%,4,50.0%,8,4,50.0%,4,50.0%,Y
2024-2025,43,69369,0106633,Santa Clara,Alum Rock Union Elementary,KIPP Heartwood Academy,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Yes,0628,Directly funded,Y,5,8,423,219,51.8%,311,73.5%,423,219,51.8%,311,73.5%,Y
2024-2025,43,69369,0107748,Santa Clara,Alum Rock Union Elementary,Learning in an Urban Community with High Achievement (L.U.C.H.A.),Elementary School District,Alternative Schools of Choice,Alternative School of Choice,No ,N/A,N/A,N,K,5,218,165,75.7%,183,83.9%,210,157,74.8%,175,83.3%,Y
2024-2025,43,69369,0107763,Santa Clara,Alum Rock Union Elementary,Renaissance Academy,Elementary School District,Alternative Schools of Choice,Alternative School of Choice,No ,N/A,N/A,N,6,8,348,224,64.4%,282,81.0%,348,224,64.4%,282,81.0%,Y
2024-2025,43,69369,0108167,Santa Clara,Alum Rock Union Elementary,Adelante Dual Language Academy,Elementary School District,Alternative Schools of Choice,Alternative School of Choice,No ,N/A,N/A,N,K,8,505,206,40.8%,286,56.6%,485,198,40.8%,277,57.1%,Y
2024-2025,43,69369,0114900,Santa Clara,Alum Rock Union Elementary,Russo/McEntee Academy,Elementary School District,Alternative Schools of Choice,Alternative School of Choice,No ,N/A,N/A,N,K,5,322,208,64.6%,260,80.7%,299,194,64.9%,243,81.3%,Y
2024-2025,43,69369,0125526,Santa Clara,Alum Rock Union Elementary,Alpha: Blanca Alvarado,Elementary School District,Elementary Schools (Public),Traditional,Yes,1375,Directly funded,Y,K,8,500,294,58.8%,301,60.2%,482,280,58.1%,286,59.3%,Y
2024-2025,43,69369,0126284,Santa Clara,Alum Rock Union Elementary,Renaissance at Mathson,Elementary School District,Alternative Schools of Choice,Alternative School of Choice,No ,N/A,N/A,N,6,8,326,225,69.0%,275,84.4%,326,225,69.0%,275,84.4%,Y
2024-2025,43,69369,0129924,Santa Clara,Alum Rock Union Elementary,Kipp Prize Preparatory Academy,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Yes,1609,Directly funded,Y,5,8,416,245,58.9%,336,80.8%,416,245,58.9%,336,80.8%,Y
2024-2025,43,69369,0135749,Santa Clara,Alum Rock Union Elementary,Adelante Dual Language Academy II,Elementary School District,Alternative Schools of Choice,Alternative School of Choice,No ,N/A,N/A,N,K,8,368,237,64.4%,297,80.7%,351,228,65.0%,287,81.8%,Y
2024-2025,43,69369,6046114,Santa Clara,Alum Rock Union Elementary,A. J. Dorsa Elementary,Elementary School District,Elementary Schools (Public),Traditional,No ,N/A,N/A,N,K,5,284,205,72.2%,256,90.1%,267,194,72.7%,241,90.3%,Y
2024-2025,43,69369,6046122,Santa Clara,Alum Rock Union Elementary,Ben Painter Elementary,Elementary School District,Elementary Schools (Public),Traditional,No ,N/A,N/A,N,P,5,362,145,40.1%,188,51.9%,325,141,43.4%,183,56.3%,Y
2024-2025,43,69369,6046155,Santa Clara,Alum Rock Union Elementary,Donald J. Meyer Elementary,Elementary School District,Elementary Schools (Public),Traditional,No ,N/A,N/A,N,K,5,246,157,63.8%,196,79.7%,235,155,66.0%,189,80.4%,Y
2024-2025,43,69369,6046189,Santa Clara,Alum Rock Union Elementary,Horace Cureton Elementary,Elementary School District,Elementary Schools (Public),Traditional,No ,N/A,N/A,N,K,5,254,173,68.1%,201,79.1%,236,161,68.2%,186,78.8%,Y
2024-2025,43,69369,6046213,Santa Clara,Alum Rock Union Elementary,Linda Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,No ,N/A,N/A,N,K,5,437,234,53.5%,298,68.2%,415,219,52.8%,281,67.7%,Y
2024-2025,43,69369,6046221,Santa Clara,Alum Rock Union Elementary,Lyndale Elementary,Elementary School District,Elementary Schools (Public),Traditional,No ,N/A,N/A,N,K,5,275,199,72.4%,228,82.9%,254,182,71.7%,211,83.1%,Y
