CDSCode,SchoolID,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,LastUpDate,Multilingual
43693696046122,6046122,602310,8782,Active,Santa Clara,Alum Rock Union Elementary,Ben Painter Elementary,500 Rough and Ready Road,500 Rough and Ready Rd.,San Jose,95133-2068,CA,500 Rough and Ready Road,500 Rough and Ready Rd.,San Jose,95133-2068,CA,(408) 928-8400,No Data,(408) 928-8401,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,Y,No Data,37.37495,-121.84331,Joseph,Manluco,05/23/2025,Y
43693696046213,6046213,602310,108,Active,Santa Clara,Alum Rock Union Elementary,Linda Vista Elementary,100 Kirk Avenue,100 Kirk Ave.,San Jose,95127-2295,CA,100 Kirk Avenue,100 Kirk Ave.,San Jose,95127-2295,CA,(408) 928-7800,No Data,(408) 928-7801,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.376934,-121.82372,Suzanne,Cicala,08/09/2023,N
43693696046221,6046221,602310,109,Active,Santa Clara,Alum Rock Union Elementary,Lyndale Elementary,13901 Nordyke Drive,13901 Nordyke Dr.,San Jose,95127-3138,CA,13901 Nordyke Drive,13901 Nordyke Dr.,San Jose,95127-3138,CA,(408) 928-7900,No Data,(408) 928-7901,https://lyndale.arusd.org/,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.359746,-121.82492,Jacqueline,Montejano,06/18/2025,N
43693696046247,6046247,602310,106,Active,Santa Clara,Alum Rock Union Elementary,Aptitud Community Academy at Goss,2475 Van Winkle Lane,2475 Van Winkle Ln.,San Jose,95116-3758,CA,2475 Van Winkle Lane,2475 Van Winkle Ln.,San Jose,95116-3758,CA,(408) 928-7656,No Data,(408) 928-7651,https://aptitud.arusd.org/,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-8,N,N,N,No Data,37.34995,-121.8314,Suyen,Jimenez,06/16/2025,N
43693696046254,6046254,602310,112,Active,Santa Clara,Alum Rock Union Elementary,Millard McCollam Elementary,3311 Lucian Avenue,3311 Lucian Ave.,San Jose,95127-1544,CA,3311 Lucian Avenue,3311 Lucian Ave.,San Jose,95127-1544,CA,(408) 928-8000,No Data,(408) 928-8001,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.380472,-121.83312,Linda,Diaz Sepulveda,08/19/2025,N
43693696046270,6046270,602310,107,Active,Santa Clara,Alum Rock Union Elementary,O. S. Hubbard Elementary,1680 Foley Avenue,1680 Foley Ave.,San Jose,95122-2213,CA,1680 Foley Avenue,1680 Foley Ave.,San Jose,95122-2213,CA,(408) 928-7700,No Data,(408) 928-7701,https://hubbard.arusd.org/,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-8,N,N,N,No Data,37.330237,-121.83946,Sandra,Sarmiento,06/16/2025,N
43693696046304,6046304,602310,121,Active,Santa Clara,Alum Rock Union Elementary,San Antonio Elementary,1721 East San Antonio Street,1721 East San Antonio St.,San Jose,95116-3060,CA,1721 East San Antonio Street,1721 East San Antonio St.,San Jose,95116-3060,CA,(408) 928-8700,No Data,(408) 928-8701,https://sanantonio.arusd.org/,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.350025,-121.85234,Iris,Charest,06/16/2025,N
43693696046320,6046320,602310,120,Active,Santa Clara,Alum Rock Union Elementary,Thomas P. Ryan Elementary,1241 McGinness Avenue,1241 McGinness Ave.,San Jose,95127-4026,CA,1241 McGinness Avenue,1241 McGinness Ave.,San Jose,95127-4026,CA,(408) 928-8650,No Data,(408) 928-8651,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.350062,-121.82257,Clarissa,Johnston-Abril,08/09/2023,N
43693696046338,6046338,602310,122,Active,Santa Clara,Alum Rock Union Elementary,William Sheppard Middle,480 Rough and Ready Road,480 Rough and Ready Rd.,San Jose,95133-2422,CA,480 Rough and Ready Road,480 Rough and Ready Rd.,San Jose,95133-2422,CA,(408) 928-8800,No Data,(408) 928-8801,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.37451,-121.843,Doug,Kleinhenz,06/16/2025,N
43693696089270,6089270,602310,116,Active,Santa Clara,Alum Rock Union Elementary,Ocala Middle,2800 Ocala Avenue,2800 Ocala Ave.,San Jose,95148-1114,CA,2800 Ocala Avenue,2800 Ocala Ave.,San Jose,95148-1114,CA,(408) 928-8350,No Data,(408) 928-8351,https://ocala.arusd.org/,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.340385,-121.82046,Kelsey,White,06/18/2025,N
43693776046379,6046379,604800,462,Active,Santa Clara,Berryessa Union Elementary,Noble Elementary,3466 Grossmont Drive,3466 Grossmont Dr.,San Jose,95132-3119,CA,3466 Grossmont Drive,3466 Grossmont Dr.,San Jose,95132-3119,CA,(408) 923-1935,No Data,(408) 937-5006,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.396302,-121.8391,Krista,Castillou,08/18/2025,N
43693776046387,6046387,604800,463,Active,Santa Clara,Berryessa Union Elementary,Northwood Elementary,2760 East Trimble Road,2760 East Trimble Rd.,San Jose,95132-1055,CA,2760 East Trimble Road,2760 East Trimble Rd.,San Jose,95132-1055,CA,(408) 923-1940,No Data,(408) 942-9032,No Data,07/01/1965,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.40946,-121.88134,Eric,Witter,08/18/2025,N
